"State","Year","Month","Period","Indicator","Data Value","Percent Complete","Percent Pending Investigation","State Name","Footnote","Footnote Symbol","Predicted Value"
"OK","2019","May","12 month-ending","Psychostimulants with abuse potential (T43.6)","300","100","0.061045403","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","300"
"OK","2019","June","12 month-ending","Psychostimulants with abuse potential (T43.6)","299","100","0.061034535","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","299"
"OK","2019","July","12 month-ending","Psychostimulants with abuse potential (T43.6)","292","100","0.060822626","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","292"
"OK","2019","August","12 month-ending","Psychostimulants with abuse potential (T43.6)","300","100","0.055762553","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","300"
"OK","2019","September","12 month-ending","Psychostimulants with abuse potential (T43.6)","315","100","0.06314088","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","315"
"OK","2019","October","12 month-ending","Psychostimulants with abuse potential (T43.6)","310","100","0.05056123","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","310"
"OK","2019","November","12 month-ending","Psychostimulants with abuse potential (T43.6)","310","100","0.045455693","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","310"
"OK","2019","December","12 month-ending","Psychostimulants with abuse potential (T43.6)","317","100","0.032690422","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","317"
"OK","2020","January","12 month-ending","Psychostimulants with abuse potential (T43.6)","322","100","0.037587391","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","322"
"OK","2020","February","12 month-ending","Psychostimulants with abuse potential (T43.6)","326","100","0.042539349","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","326"
"OK","2020","March","12 month-ending","Psychostimulants with abuse potential (T43.6)","336","100","0.04262254","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","336"
"OK","2020","April","12 month-ending","Psychostimulants with abuse potential (T43.6)","347","100","0.044890019","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","347"
"OK","2020","May","12 month-ending","Psychostimulants with abuse potential (T43.6)","362","100","0.0472167","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","362"
"OK","2020","June","12 month-ending","Psychostimulants with abuse potential (T43.6)","362","100","0.054358569","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","362"
"OK","2020","July","12 month-ending","Psychostimulants with abuse potential (T43.6)","385","100","0.061079892","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","385"
"OK","2020","August","12 month-ending","Psychostimulants with abuse potential (T43.6)","397","100","0.074725805","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","398"
"OK","2020","September","12 month-ending","Psychostimulants with abuse potential (T43.6)","386","100","0.078665077","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","387"
"OK","2020","October","12 month-ending","Psychostimulants with abuse potential (T43.6)","405","100","0.086220959","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","406"
"OK","2020","November","12 month-ending","Psychostimulants with abuse potential (T43.6)","407","100","0.097030418","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","409"
"OK","2020","December","12 month-ending","Psychostimulants with abuse potential (T43.6)","413","100","0.135699823","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","417"
"OK","2021","January","12 month-ending","Psychostimulants with abuse potential (T43.6)","433","100","0.126443215","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","436"
"OK","2021","February","12 month-ending","Psychostimulants with abuse potential (T43.6)","435","100","0.118815938","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","438"
"OK","2021","March","12 month-ending","Psychostimulants with abuse potential (T43.6)","438","100","0.118667649","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","441"
"OK","2021","April","12 month-ending","Psychostimulants with abuse potential (T43.6)","433","100","0.11681046","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","436"
"OK","2021","May","12 month-ending","Psychostimulants with abuse potential (T43.6)","434","100","0.114587383","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","437"
"OK","2021","June","12 month-ending","Psychostimulants with abuse potential (T43.6)","450","100","0.108161058","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","452"
"OK","2021","July","12 month-ending","Psychostimulants with abuse potential (T43.6)","443","100","0.107925389","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","445"
"OK","2021","August","12 month-ending","Psychostimulants with abuse potential (T43.6)","465","100","0.111841186","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","468"
"OK","2021","September","12 month-ending","Psychostimulants with abuse potential (T43.6)","483","100","0.111184801","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","486"
"OK","2021","October","12 month-ending","Psychostimulants with abuse potential (T43.6)","481","100","0.115003021","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","484"
"OK","2021","November","12 month-ending","Psychostimulants with abuse potential (T43.6)","501","100","0.117203019","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","504"
"OK","2021","December","12 month-ending","Psychostimulants with abuse potential (T43.6)","512","100","0.124109868","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","516"
"OK","2022","January","12 month-ending","Psychostimulants with abuse potential (T43.6)","517","100","0.124003903","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","521"
"OK","2022","February","12 month-ending","Psychostimulants with abuse potential (T43.6)","543","100","0.122959081","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","547"
"OK","2022","March","12 month-ending","Psychostimulants with abuse potential (T43.6)","560","100","0.120281459","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","564"
"OK","2022","April","12 month-ending","Psychostimulants with abuse potential (T43.6)","564","100","0.120122525","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","568"
"OK","2022","May","12 month-ending","Psychostimulants with abuse potential (T43.6)","570","100","0.120074446","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","574"
"OK","2022","June","12 month-ending","Psychostimulants with abuse potential (T43.6)","583","100","0.120088866","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","587"
"OK","2022","July","12 month-ending","Psychostimulants with abuse potential (T43.6)","618","100","0.118146502","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","622"
"OK","2022","August","12 month-ending","Psychostimulants with abuse potential (T43.6)","597","100","0.11055832","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","600"
